"date_of_notice","card_date","month_year","date_of_notice_additional_info","event_number","rapid_response_specialist","reason_stated_for_filing","company","address","location","county","wdb_name","region","contact","phone","business_type","number_affected","raw_number_affected","rescission_amend","total_employees","raw_total_employees","not_affected","layoff_date","closing_date","reason_for_dislocation","fein_num","union","classification_and_additional_info"
"2022-09-30","September 30, 2022","September 2022","Amendment: 11/2/2022","2022-0032","Stuart Goldberg","Plant Closing","Exodus Transitional Community","Multiple New York City locations","Queens, Kings, New York |Wdb Name: New York City | Region: New York City","Queens, Kings, New York","New York City","New York City","Tomasina Salcedo, CBCS, Director of Executive Administration","(917) 492-0990 Ext: 103","Hotels (except Casino Hotels) and Motels","150",150,150,"150",150,0,"A second phase of an additional 30 employees will be permanently separated on December 31, 2022.","12/31/2022","Economic","31-1731465","The employees are not represented by a union.","Plant Closing Exodus Transitional Community sites: The Wolcott, 4 West 31st St., NY, NY 10001 (19 employees affected) Exodus Transitional Community, Inc., 2271 Third Avenue, New York, NY 10035 (20 employees affected) Holiday Inn Express, LGA, 113-10 Horace Harding Expressway, Corona, NY 11368 (26 employees affected Wyndham Gardens, 61-27 186th St., Fresh Meadows, NY 11365 (25 employees affected The Tillary, 85 Flat bush Extension, Brooklyn, NY 1120 (18 employees affected) Howard Johnson, 38-59 12th St., Queens, NY 11101 (23 employees affected) Fairfield Inn & Suites, 29-27 40th Road, Long Island City, NY 11101 (19 employees affected) The Duffield, 60 Duffield Street, Brooklyn, NY 11201 (No employees affected)"
"2022-11-04","November 4, 2022","November 2022",NA,"2022-0050","Stuart Goldberg","Plant Layoff","Twitter, Inc.","249 W. 17th St.","New York |Wdb Name: New York City | Region: New York City","New York","New York City","New York City",NA,NA,"American communications company","418",418,418,"----",NA,NA,"The business will be permanently separating 418 employees assigned to the 249 W. 17th St. site beginning February 2, 2023.","----","Economic","----","The employees are not represented by a union.","Plant Layoff"
"2022-11-04","November 4, 2022","November 2022",NA,"2022-0051","Stuart Goldberg","Plant Layoff","Better Holdco, Inc. d/b/a Better.com","175 Greenwich Street","New York |Wdb Name: New York City | Region: New York City","New York","New York City","New York City","Levy Leatherman, Assistant General Counsel","(929) 996-1410","An online platform for mortgage origination and related services.","28 (total employees affected at both sites)",28,28,"----",NA,NA,"Separations for 28 employees began on November 4, 2022.","----","Economic","47-3750777","The employees are not represented by a union.","Plant Layoff"
"2022-09-29","September 29, 2022","September 2022","Amendment: 11/4/2022","2022-0026 and 2022-0027","Jason Kirchhoff and Susan Gallagher","Plant Layoff","Pioneer Credit Recovery, Inc., Gila LLC, Navient B.P.O., LLC,","","Wyoming |Wdb Name: Glow | Region: Finger Lakes Region County: Chemung |Wdb Name: Css | Region: Southern Region","Wyoming","Glow","Finger Lakes Region County: Chemung |WDB Name: CSS | Region: Southern Region","Julia Pfirrman, Senior Director, and Human Resources Business Partner","(513) 605-7400","Provides services to government clients and consumers with expertise in debt recovery","335 (total employees affected at all sites)",335,335,"Arcade = 287 employees; Horseheads = 247 employees; Perry = 389 employees",NA,NA,"Separations for an additional three (3) employees will occur on the 14-day period starting on February 3, 2023.","----","Economic","Navient B.P.O., LLC 85-1187899; Pioneer Credit Recovery, Inc 30-0002602; APG 26- 1814840; Navient Solutions, LLC 54-1843973; Gila LLC 74-2605908","The employees are not represented by a union.","Plant Layoff Pioneer Credit Recovery, Inc., Gila LLC, Navient B.P.O., LLC, Navient Solutions, LLC, or Asset Performance Group, LLC sites: 2022-0026: Finger Lakes Region 26 Edward Street, Arcade , NY 14009 (109 employees affected) 20 Parker Lane, Perry, NY 14530 (124 employees affected) 2022-0027: Southern Region 325 Daniel Zenker Drive, Horseheads, NY 14845 (102 employees affected)"
"2022-11-03","November 3, 2022","November 2022",NA,"2022-0049","Elias Flores","Plant Closing","Avon Products, Inc. (Avon Global Innovation Center)","1 Avon Place","Rockland |Wdb Name: Rockland | Region: Mid-Hudson Region","Rockland","Rockland","Mid-Hudson Region","Lisa Cassel, People Partner Lead","(845) 369-2507","Research & Development operations","138",138,138,"138",138,0,"Separation for 138 employees will begin on February 3, 2023 and continue through December 27, 2024.","Avon expects that it will cease Research & Development operations at the Avon Global Innovation Center by March 29, 2024.","Economic","13-0544597","The employees are not represented by a union.","Plant Closing"
"2022-11-02","November 2, 2022","November 2022",NA,"2022-0048","Stuart Goldberg","Plant Closing","Total Fire Protection, Inc.","5322 Avenue N","Kings |Wdb Name: New York City | Region: New York City","Kings","New York City","New York City","Deana Gabay, Director of Human Resources","(718) 697-6938","Fire and Life Safety Specialists","61",61,61,"61",61,0,"Separations for 61 employees will occur on January 2, 2023. Employees that are willing to commute to Woodbury, will continue to have employment and those employees that decide not to relocate will terminate their employment.","January 2, 2023","The facility is relocating from Brooklyn, NY to Woodbury, NY. The Brooklyn location will permanently close.","-----","The employees are not represented by a union.","Plant Closing"
"2022-10-28","October 28, 2022","October 2022",NA,"2022-0047","Stuart Goldberg","Plant Closing","IKEA US RETAIL LLC","96-05 Queens Boulevard","Queens |Wdb Name: New York City | Region: New York City","Queens","New York City","New York City","Philip Wellington, IKEA Country People & Culture Manager","(610) 831-0180","Furniture and home accessories store","78",78,78,"78",78,0,"Separations for 78 employees will occur on February 1, 2023 or within a 14-day period thereafter.","February 1, 2023","Economic","23-3005575","The employees are not represented by a union.","Plant Closing"
"2022-10-31","October 31, 2022","October 2022",NA,"2022-0045","Elias Flores","Plant Closing","Indian Point Energy Center (IPEC) subsidiary of Holtec International; Holtec Decommissioning International, LLC","450 Broadway","Westchester |Wdb Name: Westch/Ptnm | Region: Mid-Hudson Region","Westchester","Westch/Ptnm","Mid-Hudson Region","Brenda Gailes, Director Human Resources","(508) 930-6870","Nuclear Power Plant","30",30,30,"30",30,0,"Separations for 30 employees will occur on or around February 15, 2023. This location is shut down and progressing through decommissioning.","February 15, 2023","Economic","13-4120330","Utility Workers Union of America - UWUA Local No. 1-2 and UWUA National","Plant Closing"
"2022-10-28","October 28, 2022","October 2022",NA,"2022-0044","Elias Flores","Plant Layoff","Strides Pharma, Inc.","Chestnut Ridge Plant","Rockland |Wdb Name: Rockland | Region: Mid-Hudson Region","Rockland","Rockland","Mid-Hudson Region","Scot Reid, Senior Director, Human Resources","(845) 682-3278","Manufacuring Medical Capsules","88",88,88,"----",NA,NA,"Separations for 88 employees will occur on or about January 27, 2023.","----","Business Restructuring","46-2953153","The employees are not represented by a union.","Plant Layoff"
"2022-10-24","October 24, 2022","October 2022",NA,"2022-0046","Regenna Darrah","Plant Closing","Exceeding Expectations, Inc. d/b/a Longfellows","500 Union Avenue","Saratoga |Wdb Name: Sar/War/Was | Region: Capital Region","Saratoga","Sar/War/Was","Capital Region","Gerri Thompson, Company Liaison","(518) 587-0108","Restaurant","80",80,80,"80",80,0,"Separations for 80 employees will occur on January 22, 2023.","January 22, 2023","Economic","14-1789602","The employees are not represented by a union.","Plant Closing"
"2022-10-11","October 11, 2022","October 2022",NA,"2022-0039","Frederick Danks","Plant Closing","Radienz Living, LLC","","Suffolk |Wdb Name: Suffolk | Region: Long Island","Suffolk","Suffolk","Long Island","Kathy Russell, Chief Human Resources Officer","(631) 952-0100 Ext: 3107","Disinfectant wipes and floor wipes business","145",145,145,"145",145,0,"The first separation of more than one employee will occur on January 15, 2023 and the other separations are expected to occur between January 31, 2023 through July 31, 2023.",NA,"Economic","11-3187548","The employees are not represented by a union.","Plant Closing Radienz Living, LLC sites: 105 Emjay Blvd, Brentwood, New York 11717 (88 employees affected) 445 Broad Hollow Rd., Melville, NY 11747 (44 employees affected) 110 Emjay Blvd, Brentwood, NY 11717 (13 employees affected)"
"2022-10-20","October 20, 2022","October 2022",NA,"2022-0043","Stuart Goldberg","Plant Layoff","Starry, Inc.","180 Maiden Lane, #1003","New York |Wdb Name: New York City | Region: New York City","New York","New York City","New York City","Jeremy MacKechnie, Head of People","(908) 447-0694","Internet Provider","49",49,49,"----",NA,NA,"Separations for 49 employees will occur on or around October 21, 2022.","----","Changes in business operational needs as result of finacial difficulties.","----","The employees are not represented by a union.","Plant Layoff"
"2022-10-06","October 6, 2022","October 2022",NA,"2022-0037","Susan Gallagher","Plant Layoff","Corning Pharmaceutical Technologies","271 County Road 64","Chemung |Wdb Name: Css | Region: Southern Region","Chemung","Css","Southern Region","Scott M. Kiefer, Division Manufacturing Director","(828) 838-9933","Pharmaceutical packaging","51",51,51,"----",NA,NA,"The expected date of the first separation of 51 employees is January 11, 2023, which includes the anticipated separation of six (6) salaried employees on January 11, 2023. Separation of two (2) salaried employees on January 14, 2023, and layoff of 43 union employees on January 16, 2023.","----","Revised the business operating plan to better align with company’s operating supply and customer demand.","16-0393470","United Steelworkers, Local 1000","Plant Layoff"
"2022-10-14","October 14, 2022","October 2022",NA,"2022-0042","Stuart Goldberg","Plant Layoff","Johnson and Johnson Services, Inc.","601 West 26th St.","New York |Wdb Name: New York City | Region: New York City","New York","New York City","New York City","LaToya Davis, Head of HR, Global Corporate Affairs","(609) 495-6023","Pharmaceutical Supplies","64",64,64,"----",NA,NA,"Sixty-four (64) employees will be separated during the following 14-day window from January 13, 2023 through January 26, 2023.","January 26, 2023","Economic","22-2203696","The employees are not represented by a union.","Plant Layoff"
"2022-10-13","October 13, 2022","October 2022",NA,"2022-0041","Elias Flores","Plant Closing","ABB/Con-Cise Optical Group LLC","4 Skyline Dr","Westchester |Wdb Name: Westch/Ptnm | Region: Mid-Hudson Region","Westchester","Westch/Ptnm","Mid-Hudson Region","Eddie Rodriguez, Human Resources Manager","(888) 305-3300 Ext: 1151","Contact lens distribution","107",107,107,"107",107,0,"Separations for 107 employees will begin on January 13, 2023.","1/13/2023","Consolidate distribution facility and expand Lab facility","51-0626564","The employees are not represented by a union.","Plant Closing"
"2022-10-11","October 11, 2022","October 2022",NA,"2022-0040","Stuart Goldberg","Plant Closing","Take-Two Interactive Software, Inc.","Playdots","New York |Wdb Name: New York City | Region: New York City","New York","New York City","New York City","Tamara Miller, Sr. Manager, People & Development","(347) 839-1691","Video game holding company","65",65,65,"65",65,0,"Separations for 65 employees will begin on January 9, 2023 and are expected to continue until approximately March 31, 2023.","3/31/2023","Economic","----","The employees are not represented by a union.","Plant Closing"
