date_of_notice,card_date,month_year,date_of_notice_additional_info,event_number,rapid_response_specialist,reason_stated_for_filing,company,address,location,county,wdb_name,region,contact,phone,business_type,number_affected,raw_number_affected,rescission_amend,total_employees,raw_total_employees,not_affected,layoff_date,closing_date,reason_for_dislocation,fein_num,union,classification_and_additional_info
11/23/21,23-Nov-21,Nov-21,NA,2021-0034,Stuart Goldberg,Temporary Plant Closing,The Princeton Club of New York,15 W. 43rd Street,New York |Wdb Name: New York City| Region: New York City,New York,New York City,New York City,"Jason Pallen, General Manager",(212) 596-1272,Private Club,99,99,99,99,99,0,"The layoff will continue pending the results of the sale of the Club’s mortgage note, which the business anticipates will be made by a friendly buyer and who they hope will open the Club.",10/22/21,"Due to the drastic, unforeseeable, and economic downturn caused by the COVID-19 pandemic.",13-1184700,"Hotel, Restaurant and Club Employees & Bartenders Union Local 6, AFL-CIO",Temporary Plant Closing
8/19/21,19-Aug-21,Aug-21,Amendment: 11/30/2021,2021-0008,Michele Taylor,Plant Closing,Occidental Chemical Corporation,4700 Buffalo Ave.,Niagara |Wdb Name: Niagara | Region: Western Region,Niagara,Niagara,Western Region,"Mark Stoebl, Human Resources",(716) 278-7740,Chemical Product Manufacturing,128,128,128,128,128,0,The separation date for 13 non-union employees will be postponed from the 14- day period starting on 11/18/2021 to the 14-day period starting on 12/31/2021.,11/18/21,Economic,16-0484732,Niagara Hooker Employers Union,Plant Closing
11/26/21,26-Nov-21,Nov-21,NA,2021-0033,Frederick Danks,Plant Closing,"North Shore Linen, Inc.",20 Rider Place and 129 Hanse Avenue,Nassau |Wdb Name: Hempstead | Region: Long Island,Nassau,Hempstead,Long Island,"Mark Rauch, Company liaison",(516) 442-7274,Premier linen and uniform rental service,111,111,0,111,111,0,"The business will be permanently closing affecting 111 employees at two facilities on or about February 24, 2022. All terminations are expected to occur on or about this date.","The anticipated closing date is on or about February 24, 2022.",Sale of Business,11-3180711,United Workers of America & International Union of Journeyman and Allied Trade,Plant Closing
11/17/21,17-Nov-21,Nov-21,NA,2021-0032,Stuart Goldberg,Plant Closing,"CBA Insert Distribution System, Inc.",5101 1st Ave.,Kings |Wdb Name: New York City | Region: New York City,Kings,New York City,New York City,"Anne Arcila, HR Director",(201) 414-5211,"Telephone Directory Distribution, Contract or Fee Basis business",79,79,79,79,79,0,"The facility will be closing permanently affecting 79 employees. Separations are expected to take place on 2/15/2022, although a small number of employees may be retained up to 2/28/2022 to finalize the closing of the site.",2/28/22,Economic,22-3326840,The employees are not represented by a union.,Plant Closing
11/15/21,15-Nov-21,Nov-21,NA,2021-0030,Elias Flores,Plant Closing (Phase 3),"Jewish Board of Family & Children's Services, Inc.",The Sally and Anthony Mann Center Residential Treatment Facility,Westchester |Wdb Name: Westch/Ptnm | Region: Mid-Hudson Region,Westchester,Westch/Ptnm,Mid-Hudson Region,"Germine James, Human Resources Director",(914) 773-7620,Children's services,4,4,4,----,NA,NA,"Four (4) additional employees located at The Sally and Anthony Mann Center Residential Treatment Facility (1), and The Jerome M. Goldsmith Center for Adolescent Treatment Residential Treatment Facility (3) will be separated as part of a Third Phase expected to occur during the 14-day period starting on 2/14/2022.",To be determined,Economic,13-5564937,"Community & Social Agency Employee's Union District Council 37, AFSCME, AFL-CIO Local 215",Plant Closing
6/30/21,30-Jun-21,Jun-21,Amendment: 11/15/2021,2020-0488,Stuart Goldberg,Plant Closing (Phase 2),"Jewish Board of Family & Childrens Services, Inc.",Ittleson Residential Treatment Facility,Bronx |Wdb Name: New York City | Region: New York City,Bronx,New York City,New York City,"Germine James, Human Resources Director",(914) 773-7620,Children's Services,50,50,50,----,NA,NA,One (1) employee at the Ittleson Residential Treatment Facility will have their separation dates extended from the 14-day period starting on 9/28/2021 to the 14-day period starting on 2/14/2022.,To be determined,Economic,13-5564937,"Community & Social Agency Employee's Union District Council 37, AFSCME, AFL-CIO Local 215",Plant Closing
6/30/21,30-Jun-21,Jun-21,Amendment: 11/15/2021,2020-0487,Elias Flores,Plant Closing,"Jewish Board of Family & Children's Services, Inc.",The Sally and Anthony Mann Center Residential Treatment Facility,Westchester |Wdb Name: Westch/Ptnm | Region: Mid-Hudson Region,Westchester,Westch/Ptnm,Mid-Hudson Region,"Germine James, Human Resources Director",(914) 773-7620,Children's services,88 (total employees at all sites),88,88,----,NA,NA,One (1) employee at the Sally Mann Center residential Treatment Facility will have their separation dates extended from the 14-day period starting on 9/28/2021 (Phase 2) to the 14-day period starting on 2/14/2022.,To be determined,Economic,13-5564937,"Community & Social Agency Employee's Union District Council 37, AFSCME, AFL-CIO Local 215",Plant Closing
5/24/21,24-May-21,May-21,Amendment: 11/22/2021,2020-0472,Elias Flores,Plant Closing (Phase 4),Concordia College,171 White Plains Rd.,Westchester |Wdb Name: Westch/Ptnm | Region: Mid-Hudson Region,Westchester,Westch/Ptnm,Mid-Hudson Region,"Theresa Vidal, Director of Human Resources",(914) 337-9300 Ext: 2116,Liberal arts college,97,97,97,----,NA,NA,"Four (4) employee separations will be extended from the 14-day period starting on November 16, 2021 to the 14-day period starting on December 7, 2021.",The complete closure will occur on 6/30/2022.,Unforeseeable business circumstances prompted by COVID-19.,13-1740448,The employees are not represented by a union.,Plant Closing (Phase 4)
9/8/21,8-Sep-21,Sep-21,Amendment: 11/18/2021,2021-0015,Melissa Baretsky,Plant Unit Closing,ACCO Brands USA LLC,"Canadian Warehouse Operations, 941 Acco Way, Ogdensburg, NY 13669 ",St. Lawrence |Wdb Name: St Lawrence | Region: North Country Region,St. Lawrence,St Lawrence,North Country Region,"Michael Donnelly, Human Resources",(315) 605-3195,Warehouse Operations,37,37,37,61,61,24,"The anticipated termination of the Canadian Warehouse Operations will occur 1/10/2022 through 1/24/2022 rather than between 12/10/2021 and 12/24/2021. Of the 37 affected employees, 12 volunteered for an out package that was offered. The Company will not continue to maintain US Warehouse Operations at the facility and this activity will be covered by a separate WARN notification.",1/10/2022 – 1/24/2022,Economic,13-2657051,"United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied Industrial and Service Workers International Union, Local 4-503",Plant Unit Closing
8/18/21,18-Aug-21,Aug-21,And 8/26/2021 Amendment: 11/19/2021,2021-0009,Stuart Goldberg,Plant Closing,"Aclara Smart Grid Solutions, LLC",1970 Pitkin Ave,"Kings, Bronx |Wdb Name: New York City | Region: New York City","Kings, Bronx",New York City,New York City,"Bette Jacques, Director of Human Resources",(603) 749-8224,Utilities management,564 (total employees at both sites),564,564,564,564,0,"Of the 564 total employees affected, 367 permanent employee separations will be postponed from the 14-day period starting on 11/24/2021 to the 14-day period starting on 12/17/2021 (298) and the 14-day period starting on 1/21/2022 (69).",1/21/22,Completion of stand-alone project,35-2547202,"Communications Workers of America (""CWA""), Local 1109",Plant Closing
11/18/21,18-Nov-21,Nov-21,NA,2021-0031,Stuart Goldberg,Plant Closing,N26 Inc.,250 Hudson St.,New York |Wdb Name: New York City | Region: New York City,New York,New York City,New York City,"Meghan Gault, Director of People",(332) 333-4772,Banking Services,46,46,46,46,46,0,The business will be permanently closing affecting 46 employees. Separations will begin on 2/15/2022 and will be completed on 2/25/2022.,2/25/22,Economic,46-2283648,The employees are not represented by a union.,Plant Closing
4/8/20,8-Apr-20,Apr-20,Amendment: 11/15/2021,2019-1187,Stuart Goldberg,Plant Layoff,Michael Page International Inc.,"622 Third Avenue, 29th Floor",New York |Wdb Name: New York City | Region: New York City,New York,New York City,New York City,"Alyssa Williams, Head of HR Operations",(203) 905-5216,Employment Agency,344,344,344,387,387,43,Two (2) additional employees were permanently separated on 11/1/2021 (1) and 11/2/2021 (1). Separations began on or about 4/8/2020.,-----,Unforeseeable business circumstances prompted by COVID-19.,65-0790985,The employees are not represented by a union.,Plant Layoff
11/9/21,9-Nov-21,Nov-21,NA,2021-0029,Roy Jewell,Plant Closing,C'Ville Yoghurt d/b/a Byrne Hollow Farms,3156 Byrne Hollow Crossing,Cortland |Wdb Name: Central Region | Region: Cayuga/Cort,Cortland,Central Region,Cayuga/Cort,"Michael Mcloughlin, Human Resource Director",(315) 956-9838,Central New York family farms,58,58,58,80,80,22,"The plant will be experiencing a layoff affecting 58 out of 80 employees on site. The earliest potential layoff date will be on February 7, 2022, and run through the end of March 2022.",----,As a result of a re-tooling of the plant to produce extended shelf life and shelf stable dairy products.,46-2597508,The employees are not represented by a union.,Plant Closing
11/8/21,8-Nov-21,Nov-21,NA,2021-0028,Stuart Goldberg,Plant Layoff,Columbia University Irving Medical Center,466 Lexington,New York |Wdb Name: New York City | Region: New York City,New York,New York City,New York City,"Melissa Gerdes-Leonard, CUIMC Sr., HR Business Partner",(212) 305-0260,Medical center,56,56,56,56,56,0,"Permanent layoffs affecting up to 56 employees will occur during the 14-day period starting on February 7, 2022. Affected employees of CUIMC will be offered employment with NYPH.",----,These layoffs are due to the integration of the electronic medical records systems at Columbia University Irving Medical Center (CUIMC) and New York Presbyterian Hospital (NYPH).,13-5598093,The employees are not represented by a union.,Plant Layoff
11/8/21,8-Nov-21,Nov-21,NA,2021-0027,Stuart Goldberg,Plant Layoff,Weill Cornell Medicine,466 Lexington,New York |Wdb Name: New York City | Region: New York City,New York,New York City,New York City,"Linda Gayle Smith, HR Business Partner",(212) 746-5454,School of Medical Sciences,99,99,99,102,102,3,"Permanent layoffs affecting 99 employees will occur on February 7, 2022.",----,These layoffs are due to the integration of certain operational functions of the business.,13-1623978,The employees are not represented by a union.,Plant Layoff
6/30/21,30-Jun-21,Jun-21,Amendment: 11/3/2021,2020‐0485,Elias Flores,Plant Closing,"C & S Wholesale Grocers, Inc.",1500 Corporate Boulevard,Orange |Wdb Name: Orange | Region: Mid‐Hudson Region,Orange,Orange,Mid‐Hudson Region,"Kim Vestea, Senior Human Resources Business Partner",(845) 469‐8013,General Line Grocery Merchant Wholesalers,244,244,244,304,304,60,"Separations began during the 14‐day period starting on 10/2/2021. Separation dates for 74 employees will be extended from the 14‐day period starting on 10/24/2021 and running through 1/1/2022 to the 14‐day period starting on 2/12/2022 and running through 2/25/2022. Sixty (60) employees have accepted offers to transfer to another C & S Wholesale Grocers, Inc. site.",Feb-22,The Newburgh warehouse will be closing as a result of a decision by one of their largest customers to move to a self‐distribution model.,04‐1140950,The employees are not represented by a union.,Plant Closing
9/7/21,7-Sep-21,Sep-21,Amendment: 10/29/2021,2021-0013,Stuart Goldberg,Plant Layoff,"A.B.C. Carpet Co., Inc. (3 NYC sites)",,"Kings, New York, Queens |Wdb Name: New York City | Region: New York City","Kings, New York, Queens",New York City,New York City,"Nicholas Corsano, Associate (Greenberg Traurig, LLP)",(212) 801-6827,Home goods store,92 (total affected at all 3 sites),92,92,92,92,0,Separations for 12 employees at two (2) sites were effective 9/8/2021. The business will be permanently separating an additional 80 employees at three (3) sites effective 10/31/2021 (42) and 11/3/2021 (38 union represented).,----,Due to the economic impact stemmed by the unforeseeable business circumstances of the COVID-19 pandemic and sale of the company.,13-1956537,"Local 810, IBT","Plant Layoff A.B.C. Carpet Co., Inc. sites: 888 Broadway, New York, NY 10033 (67 total employees, with 10 employees separated on September 8, 2021) 14-08 28th Avenue, Long Island City, NY 11102 (14 total employees, with 2 employees separated on September 8, 2021) 220 36th Street Industry City, Brooklyn, NY 11232, NY 10033 (11 total employees, with no employees separated on September 8, 2021)"
9/7/21,7-Sep-21,Sep-21,Amendment: 10/28/2021,2021-0014,Stuart Goldberg,Plant Layoff,"A.B.C. Home Furnishings, Inc. (3 NYC sites)",,"Kings, New York |Wdb Name: New York City | Region: New York City","Kings, New York",New York City,New York City,"Nicholas Corsano, Associate (Greenberg Traurig, LLP)",(212) 801-6827,Home goods store,127 (total affected at all 3 sites),127,127,127,127,0,Separations for 62 employees at three (3) sites were effective 9/8/2021. The business will be permanently separating an additional 65 employees at three (3) sites effective 10/31/2021.,----,Due to the economic impact stemmed by the unforeseeable business circumstances of the COVID-19 pandemic and sale of the company.,13-3276915,The employees are not represented by a union.,"Plant Layoff A.B.C. Home Furnishings, Inc. sites: 888 Broadway, New York, NY 10033 (57 employees separated on September 8, 2021) Suite 19-3-AS, 3rd FL Building 19, Industry City, Brooklyn, NY 11232 (4 employees separated on September 8, 2021) 220 36th Street Industry City, Brooklyn, NY 11232, NY 10033 (one employee separated on September 8, 2021)"
4/8/20,8-Apr-20,Apr-20,Amendment: 10/29/2021,2019-1187,Stuart Goldberg,Plant Layoff,Michael Page International Inc.,"622 Third Avenue, 29th Floor",New York |Wdb Name: New York City | Region: New York City,New York,New York City,New York City,"Alyssa Williams, Head of HR Operations",(203) 905-5216,Employment Agency,342,342,342,390,390,48,One (1) additional employee was permanently separated on 10/26/2021. Separations began on or about 4/8/2020.,-----,Unforeseeable business circumstances prompted by COVID-19.,65-0790985,The employees are not represented by a union.,Plant Layoff
10/18/21,18-Oct-21,Oct-21,0.000183261,2021-0025,Stuart Goldberg,Plant Closing,"DSW Shoe Warehouse, Inc.",2220 Broadway.,New York |Wdb Name: New York City | Region: New York City,New York,New York City,New York City,"Brian Knothe, Regional Senior HR Manager",(630) 768-2089,Shoe and Accessories store,36,36,36,36,36,0,"The business will be permanently closing affecting 36 employees. Separations are expected to occur during the 14-day period starting on January 29, 2022.",29-Jan-22,Economic,43-0587630,The employees are not represented by a union.,Plant Closing
8/30/21,30-Aug-21,Aug-21,Amendment: 10/22/2021,2021-0012,Elias Flores,Plant Closing (Phase 6),Concordia College (Phase 6),171 White Plains Rd.,Westchester |Wdb Name: Westch/Ptnm | Region: Mid-Hudson Region,Westchester,Westch/Ptnm,Mid-Hudson Region,"Theresa Vidal, Director of Human Resources",(914) 337-9300 Ext: 2116,Liberal arts college,5,5,5,----,NA,NA,"One employee that we previously identified as being separated during the 14-day period starting on November 30, 2021, will have their anticipated separation date extended to December 31, 2021.",The complete closure will occur on 6/30/2022.,Unforeseeable business circumstances prompted by COVID-19.,13-1740448,The employees are not represented by a union.,Plant Closing (Phase 6)
5/24/21,24-May-21,May-21,Amendment: 10/22/2021,2020-0472,Elias Flores,Plant Closing (Phase4),Concordia College,171 White Plains Rd.,Westchester |Wdb Name: Westch/Ptnm | Region: Mid-Hudson Region,Westchester,Westch/Ptnm,Mid-Hudson Region,"Theresa Vidal, Director of Human Resources",(914) 337-9300 Ext: 2116,Liberal arts college,97,97,97,----,NA,NA,"Nine (9) employees that we previously identified as being separated during the 14-day period starting on October 15, 2021 and October 31, 2021 will have their anticipated separation date extended to November 16, 2021 (5); November 30, 2021 (2); or January 31, 2022 (1) respectively.",The complete closure will occur on 6/30/2022.,Unforeseeable business circumstances prompted by COVID-19.,13-1740448,The employees are not represented by a union.,Plant Closing (Phase4)
7/29/20,29-Jul-20,Jul-20,Amendment: 10/4/2021,2020-0096,Stuart Goldberg,Plant Layoff/Temporary Plant Layoff,"Flying Food Group, LLC (JFK International Airport)",Building 146,Queens |Wdb Name: New York City | Region: New York City,Queens,New York City,New York City,"Rex Nichols, General Manager",(718) 301-8022,Food services,434,434,434,----,NA,NA,Permanent separations for 219 employees will be extended from the 14-day period starting on 10/1/2021 to the 14-day period starting on 11/1/2021. This is due to the fact that the company will not exhaust federal funds provided under the CARES Act and subsequent amendments until after 11/1/2021.,----,Unforeseeable business circumstances prompted by COVID-19.,38-3972560,RWDSU/UFCW Local 1102,Plant Layoff/Temporary Plant Layoff
10/20/21,20-Oct-21,Oct-21,NA,2021-0025,Stuart Goldberg,Plant Layoff,"Packard Pacifica, Inc. (at Holiday Inn LaGuardia Hotel)",37-10 114th St.,New York |Wdb Name: New York City | Region: New York City,New York,New York City,New York City,"Ruby Gurrola, Vice President of Human Resources",858-277-4305,Hotel,17,17,17,----,NA,NA,The business permanently separated 17 employees effective 10/22/2021.,----,Unforeseeable business circumstances prompted by COVID-19.,45-5309770,New York Hotel and Motel Trades Council. AFL-CIO,Plant Layoff
10/15/21,15-Oct-21,Oct-21,NA,2021-0024,Stuart Goldberg,Plant Layoff,EmblemHealth,55 Water Street,New York |Wdb Name: New York City | Region: New York City,New York,New York City,New York City,"Daniel Byrne,Vice President, Labor Relations",(646) 447-0495,Medicare Sales,89,89,89,----,NA,NA,"Separations for 89 employees will occur beginning on or about October 15, 2021, or within 14 days following that date.",----,Economic,26-1330097,"Local 153 OPEIU, Office & Professional Employees International Union",Plant Layoff
4/8/20,8-Apr-20,Apr-20,Amendment: 10/14/2021,2019-1187,Stuart Goldberg,Plant Layoff,Michael Page International Inc.,"622 Third Avenue, 29th Floor",New York |Wdb Name: New York City | Region: New York City,New York,New York City,New York City,"Alyssa Williams, Head of HR Operations",(203) 905-5216,Employment Agency,341,341,341,346,346,5,Nine (9) additional employees were separated between 9/13/2021 and 10/1/2021. Separations began on or about 4/8/2020.,-----,Unforeseeable business circumstances prompted by COVID-19.,65-0790985,The employees are not represented by a union.,Plant Layoff
6/30/21,30-Jun-21,Jun-21,Amendment: 10/13/2021,2020-0485,Elias Flores,Plant Closing,"C & S Wholesale Grocers, Inc.",1500 Corporate Boulevard,Orange |Wdb Name: Orange | Region: Mid-Hudson Region,Orange,Orange,Mid-Hudson Region,"Kim Vestea, Senior Human Resources Business Partner",(845) 469-8013,General Line Grocery Merchant Wholesalers,244,244,244,304,304,60,"Separations are expected to begin during the 14-day period starting on 10/2/2021. Separation dates for 134 employees will be extended to the 14-day period starting on 10/24/2021 and will run through 1/1/2022. Sixty (60) employees have accepted offers to transfer to another C & S Wholesale Grocers, Inc. site.",12/31/21,The Newburgh warehouse will be closing as a result of a decision by one of their largest customers to move to a self-distribution model.,04-1140950,The employees are not represented by a union.,Plant Closing
3/19/21,19-Mar-21,Mar-21,Amendment: 9/29/2021,2020-0441,Stuart Goldberg,Possible Plant Closing,"Somos Healthcare Providers, Inc.","2910 Exterior Street, 1st Floor",Bronx |Wdb Name: New York City | Region: New York City,Bronx,New York City,New York City,"Liz Webb, VP of Human Resources",(516) 642-4068,Community care and advocate community provider,121,121,121,121,121,0,Permanent layoffs for 121 employees on site will be extended from 9/30/2021 to 12/31/2021.,The business has not yet determined if the site will be closing.,Reorganization of the corporation,47-2528627,The employees are not represented by a union.,Possible Plant Closing
4/8/20,8-Apr-20,Apr-20,Amendment: 9/30/2021,2019-1187,Stuart Goldberg,Plant Layoff,Michael Page International Inc.,"622 Third Avenue, 29th Floor",New York |Wdb Name: New York City | Region: New York City,New York,New York City,New York City,"Alyssa Williams, Head of HR Operations",(203) 905-5216,Employment Agency,332,332,332,346,346,14,One (1) additional employee separation occurred on 9/9/2021. Separations began on or about 4/8/2020.,-----,Unforeseeable business circumstances prompted by COVID-19.,65-0790985,The employees are not represented by a union.,Plant Layoff
9/30/21,30-Sep-21,Sep-21,NA,2021-0023,Melissa Baretsky,Plant Layoff,New York Air Brake,784 Starbuck Ave.,Jefferson |Wdb Name: Jeff/Lewis | Region: North Country Region,Jefferson,Jeff/Lewis,North Country Region,"Rich Kane, Senior Director of Human Resources",(315) 786-5553,Brake shop,153,153,0,380,380,227,"Separations will occur in two phases – the first phase will occur during the 14-day period starting on January 10, 2022 and the second phase will occur during the 14-day period starting on March 18, 2022.",----,Restructuring of the Strategic Business Unit (SBU) production and manufacturing operations,16-1385584,"International Association of Machinists & Aerospace Workers, Lodge No. 761, District 65",Plant Layoff
8/30/21,30-Aug-21,Aug-21,Amendment: 9/22/2021,2021-0012,Elias Flores,Plant Closing (Phase 6),Concordia College (Phase 6),171 White Plains Rd.,Westchester |Wdb Name: Westch/Ptnm | Region: Mid-Hudson Region,Westchester,Westch/Ptnm,Mid-Hudson Region,"Theresa Vidal, Director of Human Resources",(914) 337-9300 Ext: 2116,Liberal arts college,5,5,5,----,NA,NA,One employee that was previously identified as being separated during the 14-day period starting on 12/31/2021 will have their anticipated separation date extended to a 14-day period starting on 1/31/2022.,The complete closure will occur on 6/30/2022.,Unforeseeable business circumstances prompted by COVID-19.,13-1740448,The employees are not represented by a union.,Plant Closing (Phase 6)
5/24/21,24-May-21,May-21,Amendment: 9/22/2021,2020-0472,Elias Flores,Plant Closing (Phase4),Concordia College,171 White Plains Rd.,Westchester |Wdb Name: Westch/Ptnm | Region: Mid-Hudson Region,Westchester,Westch/Ptnm,Mid-Hudson Region,"Theresa Vidal, Director of Human Resources",(914) 337-9300 Ext: 2116,Liberal arts college,97,97,97,----,NA,NA,Three (3) employees that were previously identified as being separated during the 14-day period starting on 8/31/2021 and 9/30/2021 will have their anticipated separation date extended to a 14- day period starting on 10/31/2021 (2) and 12/31/2021 (1).,The complete closure will occur on 6/30/2022.,Unforeseeable business circumstances prompted by COVID-19.,13-1740448,The employees are not represented by a union.,Plant Closing (Phase4)
